city,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,traffic_NOx,traffic_pm25,power_pm25,population_2020
Delhi,38797196.600999996,33399663.4056,3104256.4390000002,2293276.7564,7501794.908,0.0,0.0,5538.156,1.9426,0.0,24177031.452362966
Mumbai,19959251.4816,15557394.3058,2955503.5330000003,1446353.6428,13029636.3746,0.0,0.0,9514.842999999999,254.62640000000002,0.0,15248240.203575548
Bengaluru,16775717.607800001,12949874.5994,2652200.0394,1173642.969,3805959.5154,0.0,0.0,10400.3786,32.7256,0.0,12373189.705994347
Ghaziabad,16710647.540400002,16418839.375,0.0,291808.1654,957254.3432,0.0,0.0,0.0,0.0,0.0,3076400.347640706
Faridabad,14832200.134,14607795.8454,0.0,224404.2886,734535.9612,0.0,0.0,0.0,0.0,0.0,2365800.586159938
Kolkata,14134860.5724,12888780.388799999,521846.00360000005,724234.1799999999,2535840.714,0.0,0.0,1594.8268,1.208,0.0,7635269.431248649
Hyderabad,11191592.747200001,8728005.0342,1717469.3686000002,746118.3444000001,2453887.4576000003,0.0,0.0,5793.883,1.2982,0.0,7865978.555862008
Chennai,10891983.093799999,8565168.6852,1608468.6424,718345.7662000001,3931533.3712,0.0,0.0,4753.8628,14.3178,0.0,7573196.615958422
Noida,9013470.9054,8855526.7288,0.0,157944.1766,518491.89019999997,0.0,0.0,0.0,0.0,0.0,1665141.3851386346
Ahmedabad,7515261.0644,6751915.659999999,0.0,763345.4044,2504669.971,0.0,0.0,0.0,0.0,0.0,8047618.431935161
Pune,7166514.336,5804478.430600001,872979.9158,489055.9896,1595983.3085999999,0.0,0.0,2863.6225999999997,14.632,0.0,5155897.604875346
Lucknow,6520208.0418,5657607.5786,455806.03320000006,406794.43,1371803.5784,0.0,0.0,1466.5878,0.0,0.0,4288647.724042801
Jaipur,6327051.0096,5332724.8082,602834.576,391491.6254,1261171.6764,0.0,0.0,2048.1204000000002,0.0,0.0,4127322.6439356394
Surat,6212291.9292,5707227.222,0.0,505064.70719999995,1693655.9182,0.0,0.0,0.0,0.0,0.0,5324713.484550638
Patna,4866684.2828,4595046.5356,0.0,271637.7472,926415.4722,0.0,0.0,0.0,0.0,0.0,2863754.5555575592
Kanpur,4784816.0774,4408338.5988,0.0,376477.4786,1265610.9070000001,0.0,0.0,0.0,0.0,0.0,3969035.696365295
Aligarh,4216541.790200001,4081335.2636,0.0,135206.5266,446797.55480000004,0.0,0.0,0.0,0.0,0.0,1425420.3833734244
Indore,4178630.2292000004,3490372.9178000004,375731.2268,312526.0846,1010806.8048,0.0,0.0,1043.8700000000001,0.0,0.0,3294834.296847743
Vadodara,3913505.0534,3262664.5794,443313.73,207526.744,688057.9254,0.0,0.0,1594.0448000000001,0.033,0.0,2187860.2722874973
Dhanbad,3846298.7376,3654173.4012,0.0,192125.3364,660567.0024,0.0,0.0,0.0,0.0,0.0,2025490.707707271
Raipur,3781409.9579999996,3651102.9329999997,0.0,130307.025,442306.1352,0.0,0.0,0.0,0.0,0.0,1373773.0345537579
Moradabad,3677694.3351999996,3521091.7308,0.0,156602.6044,519405.2254,0.0,0.0,0.0,0.0,0.0,1650992.014514178
Agra,3660198.7517999997,3416342.5409999997,0.0,243856.2108,806296.5334,0.0,0.0,0.0,0.0,0.0,2570865.0276154354
