city,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,traffic_NOx,traffic_pm25,power_pm25,population_2020
Gwalior,3577757.8562,3409713.3567999997,0.0,168044.4994,555076.635,0.0,0.0,0.0,0.0,0.0,1771659.8250267245
Varanashi,3566900.0916,3339691.2238000003,0.0,227208.86779999998,777549.5638,0.0,0.0,0.0,0.0,0.0,2395357.8259013034
Kota,3416254.5082,3281527.2546,0.0,134727.2536,439257.0756,0.0,0.0,0.0,0.0,0.0,1420407.7857963275
Meerut,3378632.6518,3179935.6324,0.0,198697.0194,651683.3271999999,0.0,0.0,0.0,0.0,0.0,2094782.5717863552
Bareilly,3256382.9462,3114688.9002,0.0,141694.046,474372.4988,0.0,0.0,0.0,0.0,0.0,1493818.189922765
Amritsar,3246314.6672,3106158.6807999997,0.0,140155.9864,456084.4958,0.0,0.0,0.0,0.0,0.0,1477602.299079135
Bhopal,3205105.7478,2947244.3752,0.0,257861.37259999997,845778.5974,0.0,0.0,0.0,0.0,0.0,2718536.7998983283
Bhilainagar,3120656.5916,3041258.5557999997,0.0,79398.0358,269831.6082,0.0,0.0,0.0,0.0,0.0,837055.6525927484
Rajkot,2541978.9864,2399284.0524,0.0,142694.934,466297.662,0.0,0.0,0.0,0.0,0.0,1504368.8525005206
Jamshedpur,2515154.4202,2340045.8576,0.0,175108.5626,603008.9368,0.0,0.0,0.0,0.0,0.0,1846091.439823036
Muzaffarpur,2385804.3568,2317576.0149999997,0.0,68228.3418,232377.9392,0.0,0.0,0.0,0.0,0.0,719299.4569831192
Kochi,2355312.3488000003,2261248.0532,0.0,94064.2956,394308.64139999996,0.0,0.0,0.0,0.0,0.0,991673.5498318896
Chandigarh,2340296.4028000003,1547020.7053999999,688776.3099999999,104499.38739999999,334674.522,0.0,0.0,1743.0716,20.014400000000002,0.0,1101692.6777046258
Aurangabad,2298498.116,2142184.8496,0.0,156313.26640000002,509073.04740000004,0.0,0.0,0.0,0.0,0.0,1647946.8783296477
Jabalpur,2297065.42,2152937.0564,0.0,144128.36359999998,475893.5972,0.0,0.0,0.0,0.0,0.0,1519478.690191228
Thiruvananthapuram,2279347.4778,2061215.531,0.0,218131.94679999998,2061215.7134,0.0,0.0,0.0,0.0,0.0,2299672.1324806605
Ranchi,2235115.5462,2069042.4897999999,0.0,166073.0564,565372.1782,0.0,0.0,0.0,0.0,0.0,1750841.43459123
Ludhiana,2190935.5234000003,1974155.4266,0.0,216780.0968,707579.7534,0.0,0.0,0.0,0.0,0.0,2285412.06078571
Cuttack,2158461.0796,2068819.4164,0.0,89641.6632,313707.31460000004,0.0,0.0,0.0,0.0,0.0,945051.9460823387
Madurai,1934430.4344000001,1752050.6883999999,0.0,182379.74599999998,604907.6747999999,0.0,0.0,0.0,0.0,0.0,1922748.3440894764
Gaya,1893933.7782,1821004.9282000002,0.0,72928.85,249064.8056,0.0,0.0,0.0,0.0,0.0,768856.5616544709
Nashik,1847546.1469999999,1656905.1395999999,0.0,190641.0074,619725.1696,0.0,0.0,0.0,0.0,0.0,2009837.1465942562
Warangal,1716621.2201999999,1624473.1196,0.0,92148.1006,310125.778,0.0,0.0,0.0,0.0,0.0,971510.9862083206
Srinagar,1634345.473,1476945.4696,0.0,157400.0034,461252.49199999997,0.0,0.0,0.0,0.0,0.0,1659425.976202473
Tiruppur,1567028.7196,1316036.3066,162979.65840000001,88012.7546,291199.817,0.0,0.0,521.0606,0.0,0.0,927881.5931686824
Coimbatore,1564059.8696,1397281.9789999998,0.0,166777.89059999998,552095.604,0.0,0.0,0.0,0.0,0.0,1758260.268573734
Jammu,1490665.1622,1373471.5662,0.0,117193.59599999999,370916.353,0.0,0.0,0.0,0.0,0.0,1235524.5994564379
Mysuru,1474847.6102,1372606.3264000001,0.0,102241.2838,332753.2562,0.0,0.0,0.0,0.0,0.0,1077881.5460306332
Erode,1412243.4238,1356321.5758,0.0,55921.848,182888.2828,0.0,0.0,0.0,0.0,0.0,589555.4611839103
Jalandhar,1402917.7075999998,1268161.1968,0.0,134756.5108,438963.8308,0.0,0.0,0.0,0.0,0.0,1420671.9539869535
Jodhpur,1398999.9165999999,1275046.253,0.0,123953.6636,396827.3444,0.0,0.0,0.0,0.0,0.0,1306812.9381044954
Solapur,1395162.4984,1282943.5602,0.0,112218.9382,370403.98360000004,0.0,0.0,0.0,0.0,0.0,1183079.279882593
Guwahati,1264819.1834,1014661.1791999999,117147.81580000001,133010.1884,456268.1056,0.0,0.0,333.1438,0.0,0.0,1402266.1115161385
Firozabad,1247958.9222,1160918.0846000002,0.0,87040.8376,288508.4372,0.0,0.0,0.0,0.0,0.0,917631.7476705164
Jhansi,1173330.9114,1095546.0672,0.0,77784.8442,257915.41179999997,0.0,0.0,0.0,0.0,0.0,820064.1674310789
Sangli-Miraj-Kupwad,1142662.6158,1072850.117,0.0,69812.4988,226965.15,0.0,0.0,0.0,0.0,0.0,736011.2277124375
Dehradun,1112660.4382,1020211.081,0.0,92449.3572,299458.77379999997,0.0,0.0,0.0,0.0,0.0,974648.4822520539
Kolhapur,1075842.643,1008313.6488,0.0,67528.9942,221586.517,0.0,0.0,0.0,0.0,0.0,711930.5225729197
Nellore,1064587.0112,995692.936,0.0,68894.07519999999,237766.625,0.0,0.0,0.0,0.0,0.0,726321.9127518833
Kurnool,1020179.0893999999,975339.8768,0.0,44839.2126,148104.0502,0.0,0.0,0.0,0.0,0.0,472721.33864372224
Amravati,1005538.1172,926905.2442,0.0,78632.87299999999,262013.09360000002,0.0,0.0,0.0,0.0,0.0,828999.630648464
Mangaluru,988972.3578,731135.7674,184533.4932,73303.09719999999,719930.958,0.0,0.0,629.126,0.0,0.0,772801.3788097696
Guntur,899773.8085999999,819965.4924,0.0,79808.3162,272424.60839999997,0.0,0.0,0.0,0.0,0.0,841382.7837614967
Ujjain,859584.9048,796783.5764,0.0,62801.3284,203313.7612,0.0,0.0,0.0,0.0,0.0,662092.4405472055
Korba,850344.0210000001,799099.4173999999,0.0,51244.6036,177253.1996,0.0,0.0,0.0,0.0,0.0,540269.8716475181
Jalgaon,825204.7154,752018.2322,0.0,73186.4832,241046.8602,0.0,0.0,0.0,0.0,0.0,771573.3196524549
Patiala,774112.8586,689572.3833999999,0.0,84540.4752,276624.2968,0.0,0.0,0.0,0.0,0.0,891297.1213119477
Silchar,660768.3352,605707.4278,0.0,55060.907400000004,187245.69040000002,0.0,0.0,0.0,0.0,0.0,580484.905568108
Dewas,540762.8086,501922.25879999995,0.0,38840.5498,125225.5652,0.0,0.0,0.0,0.0,0.0,409482.8203742951
Imphal,515190.37240000005,482906.6988,0.0,32283.6736,107334.1976,0.0,0.0,0.0,0.0,0.0,340351.6250785012
Udaipur,357278.8818,298040.7374,0.0,59238.144400000005,191624.7782,0.0,0.0,0.0,0.0,0.0,624521.3216731688
Shivamogga,355195.3102,313709.55,0.0,41485.760200000004,135796.26059999998,0.0,0.0,0.0,0.0,0.0,437369.2918584496
Itanagar,307875.436,293527.2422,0.0,14348.1938,48753.105200000005,0.0,0.0,0.0,0.0,0.0,151271.1095556845
Alwar,294815.01320000004,240613.4354,0.0,54201.57780000001,176347.6224,0.0,0.0,0.0,0.0,0.0,571420.4103232138
Agartala,293378.4906,223124.854,0.0,70253.6366,221584.82259999998,0.0,0.0,0.0,0.0,0.0,740653.5356986588
Nagpur,280539.2584,0.0,0.0,280539.2584,1069151.2942,0.0,0.0,0.0,0.0,0.0,2957603.3582844366
Gangtok,253071.79479999997,237879.3172,0.0,15192.477600000002,52263.615600000005,0.0,0.0,0.0,0.0,0.0,160167.50096020103
Sagar,252662.48760000002,209828.74759999997,0.0,42833.740000000005,140718.95560000002,0.0,0.0,0.0,0.0,0.0,451579.48607653007
Shimla,239500.00699999998,214751.57140000002,0.0,24748.4356,78692.4872,0.0,0.0,0.0,0.0,0.0,260912.92057597917
Visakhapatnam,220736.86099999998,0.0,0.0,220736.86099999998,2773060.9646,0.0,0.0,0.0,0.0,0.0,2327153.3056933377
Panaji,216629.0588,207706.5786,0.0,8922.4802,4150.501200000001,0.0,0.0,0.0,0.0,0.0,94066.09213450924
Gurugram,131192.6188,0.0,0.0,131192.6188,497806.74340000004,0.0,0.0,0.0,0.0,0.0,1383114.5690589473
Kohima,121183.046,118485.657,0.0,2697.389,9172.2448,0.0,0.0,0.0,0.0,0.0,28437.065263710567
Tiruchirapalli,115772.791,0.0,0.0,115772.791,449622.396,0.0,0.0,0.0,0.0,0.0,1220546.4118212415
Vijayawada,111155.66100000001,0.0,0.0,111155.66100000001,439847.33540000004,0.0,0.0,0.0,0.0,0.0,1171863.942938039
Hubballi-Dharwad,111020.4602,0.0,0.0,111020.4602,421416.19800000003,0.0,0.0,0.0,0.0,0.0,1170456.4047640008
Bhubaneshwar,109590.2262,0.0,0.0,109590.2262,438088.3518,0.0,0.0,0.0,0.0,0.0,1155361.2613799893
Mangalore,73303.09719999999,0.0,0.0,73303.09719999999,877251.9302,0.0,0.0,0.0,0.0,0.0,772801.3788097696
Aizawl,60348.067,22219.4596,0.0,38128.6074,22218.8016,0.0,0.0,0.0,0.0,0.0,401971.60874444246
Jalpaiguri,56891.7414,0.0,0.0,56891.7414,223126.33659999998,0.0,0.0,0.0,0.0,0.0,599781.5483658314
Thoothukkudi,41619.2036,0.0,0.0,41619.2036,533057.4546,0.0,0.0,0.0,0.0,0.0,438776.5650786832
Durgapur,37562.1302,0.0,0.0,37562.1302,147513.3996,0.0,0.0,0.0,0.0,0.0,396010.4399841819
Raurkela,35326.9952,0.0,0.0,35326.9952,136816.18,0.0,0.0,0.0,0.0,0.0,372437.07536855154
Shillong,29373.126,0.0,0.0,29373.126,115415.67,0.0,0.0,0.0,0.0,0.0,309668.25448160246
Nalgonda,20129.448800000002,0.0,0.0,20129.448800000002,77576.1022,0.0,0.0,0.0,0.0,0.0,212226.2161312243
