date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,industrial_scope2
2020-01-01,2194.012260584774,2073.25,,120.455,597.27,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-02,2087.3722605847743,2086.704,,0.361,588.527,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-03,2245.0692605847744,2125.172,,119.59,570.366,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-04,2204.720260584774,2128.141,,76.272,564.75,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-05,2172.4932605847744,2042.775,,129.411,552.302,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-06,2190.6762605847744,2060.169,,130.2,536.837,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-07,2237.608260584774,2102.064,,135.237,572.122,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-08,2245.970260584774,2108.114,,137.549,569.418,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-09,2176.2032605847744,2065.44,,110.456,523.408,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-10,2147.081260584774,2032.969,,113.805,540.231,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-11,2205.1222605847743,2075.3,,129.515,540.771,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-12,2204.7342605847743,2084.316,,120.111,546.811,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-13,2236.2192605847745,2104.322,,131.59,571.527,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-14,2162.755260584774,2068.843,,93.605,587.373,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-15,2168.5382605847744,2010.051,,158.18,610.445,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-16,2107.0982605847744,2005.397,,101.394,534.874,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-17,2229.5692605847744,2100.074,,129.188,573.608,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-18,2108.447260584774,2084.304,,23.836,541.463,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-19,2109.146260584774,1996.716,,112.123,539.962,0.3072605847740562,,Ujjain,0.1348221139307504
2020-01-20,2104.740260584774,2079.667,,24.766,551.551,0.3072605847740562,,Ujjain,0.1348221139307504
