date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,industrial_scope2
2020-01-01,903.7392698508005,811.3,,92.276,375.193,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-02,906.6442698508005,816.07,,90.411,378.338,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-03,919.4912698508004,832.312,,87.016,374.283,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-04,910.6712698508005,836.278,,74.23,368.103,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-05,882.8932698508005,803.53,,79.2,369.024,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-06,904.1452698508004,810.035,,93.947,374.873,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-07,912.1372698508005,827.426,,84.548,365.081,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-08,905.5102698508005,828.821,,76.526,371.696,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-09,904.4502698508005,810.557,,93.73,374.879,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-10,801.3642698508005,801.201,,0.0,360.648,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-11,897.8172698508005,815.749,,81.905,354.358,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-12,895.3002698508005,815.764,,79.373,352.243,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-13,906.2872698508005,826.816,,79.308,357.574,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-14,901.1402698508005,810.586,,90.391,350.744,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-15,852.8742698508005,785.052,,67.659,349.003,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-16,868.0122698508004,782.434,,85.415,364.265,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-17,915.0332698508005,818.289,,96.581,358.426,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-18,896.5532698508005,814.866,,81.524,355.556,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-19,858.3352698508005,781.018,,77.154,361.481,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-20,898.0112698508005,815.565,,82.283,354.034,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-21,906.7272698508004,821.47,,85.094,350.959,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-22,886.5792698508004,802.149,,84.267,350.047,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-23,891.7292698508005,812.034,,79.532,349.557,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-24,903.1812698508005,831.541,,71.477,345.707,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-25,930.4772698508004,841.314,,89.0,345.493,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-26,888.9282698508005,800.555,,88.21,348.921,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-27,925.0552698508005,832.389,,92.503,366.392,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-28,930.4742698508005,843.884,,86.427,377.629,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-29,935.2222698508004,850.862,,84.197,368.862,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-30,944.3062698508005,858.017,,86.126,365.203,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-01-31,934.5842698508005,851.822,,82.599,355.844,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-01,911.1192698508005,828.357,,82.599,360.538,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-02,883.1992698508005,788.575,,94.461,365.834,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-03,902.8892698508005,814.093,,88.633,348.95,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-04,916.5702698508005,833.146,,83.261,349.555,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-05,833.9902698508005,833.68,,0.147,359.354,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-06,922.1712698508005,833.032,,88.976,365.52,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-07,931.1622698508005,841.861,,89.138,369.509,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-08,854.6702698508005,814.672,,39.835,355.214,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-09,865.1052698508005,795.62,,69.322,352.794,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-10,904.8402698508005,810.494,,94.183,354.922,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-11,902.0512698508005,813.087,,88.801,351.542,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-12,882.9532698508004,819.98,,62.81,350.915,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-13,934.9892698508005,850.594,,84.232,349.253,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-14,941.1612698508005,848.753,,92.245,351.655,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-15,949.8182698508004,857.41,,92.245,357.115,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-16,853.5732698508004,820.562,,32.848,354.457,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-17,933.3652698508005,841.499,,91.703,352.112,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-18,955.3962698508004,857.772,,97.461,352.311,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-19,949.7992698508004,855.522,,94.114,350.027,0.1632698508005201,,Shivamogga,0.1255833087137798
2020-02-20,840.3592698508004,837.161,,3.035,348.748,0.1632698508005201,,Shivamogga,0.1255833087137798
